B=|C=القسم|D=المجموعة|E=الفرع|F=الفئة|G=النشاط|DESC=الوصـــف
B=الباب ( الف )|C= الــــــزراعة والحـــراجـــــــة وصــــــــــيد الأســـــــــــماك|D=|E=|F=|G=|DESC=
B=1.0|C=|D=أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات ذات الصلة|E=|F=|G=|DESC=
B=11.0|C=|D=|E=زراعة المحاصيل غير الدائمة |F=|G=|DESC=
B=111.0|C=|D=|E=|F=زراعة الحبوب (باستثناء الأرز)،والمحاصيل البقولية والبذور الزيتية|G=|DESC=
B=1110.0|C=|D=|E=|F=|G=زراعة الحبوب (باستثناء الأرز) والمحاصيل البقولية والبذور الزيتية|DESC=
B=11101.0|C=|D=|E=|F=|G=|DESC=زراعة الحبوب، يشمل  (القمح - حبوب الذرة الصفراء  - الذرة الب
B=11102.0|C=|D=|E=|F=|G=|DESC=زراعة المحاصيل البقولية، يشمل (الفاصولياء - الفول - الحمص - 
B=11103.0|C=|D=|E=|F=|G=|DESC=زراعة الحبوب الزيتية، يشمل (فول الصويا - الفول السوداني - بذ
B=112.0|C=|D=|E=|F=زراعة الأرز |G=|DESC=
B=1120.0|C=|D=|E=|F=|G=زراعة الأرز |DESC=
B=11200.0|C=|D=|E=|F=|G=|DESC=زراعة الأرز
B=113.0|C=|D=|E=|F=زراعة الخضار والبطيخيات والجذور والدرنات |G=|DESC=
B=1130.0|C=|D=|E=|F=|G=زراعة الخضار والبطيخيات والجذور والدرنات |DESC=
B=11301.0|C=|D=|E=|F=|G=|DESC=زراعة البطاطس والبطاطا الحلوة
B=11302.0|C=|D=|E=|F=|G=|DESC=زراعة الخضر الورقية أو الساقية: مثل الأرضي شوكي والهليون وال
B=11303.0|C=|D=|E=|F=|G=|DESC=زراعة الخضر المثمرة  مثل الخيار - الباذنجان - الطماطم - البط
B=11304.0|C=|D=|E=|F=|G=|DESC=زراعة الجذور أو الأبصال أو الخضر الدرنية، مثل الجزر - اللفت 
B=11305.0|C=|D=|E=|F=|G=|DESC=زراعة الفطر و الكمأ
B=11306.0|C=|D=|E=|F=|G=|DESC=زراعة الخضار في البيوت المحمية
B=11307.0|C=|D=|E=|F=|G=|DESC=زراعة الشوندر السكري
B=11308.0|C=|D=|E=|F=|G=|DESC=الزراعة المائية لإنتاج الخضار
B=11309.0|C=|D=|E=|F=|G=|DESC=زراعة الخضار والبطيخيات والجذور والدرنات الأخرى
B=114.0|C=|D=|E=|F=زراعة قصب السكر|G=|DESC=
B=1140.0|C=|D=|E=|F=|G=زراعة قصب السكر|DESC=
B=11400.0|C=|D=|E=|F=|G=|DESC=زراعة قصب السكر
B=115.0|C=|D=|E=|F=زراعة التبغ|G=|DESC=
B=1150.0|C=|D=|E=|F=|G=زراعة التبغ|DESC=
B=11500.0|C=|D=|E=|F=|G=|DESC=زراعة التبغ
B=116.0|C=|D=|E=|F=زراعة محاصيل الألياف |G=|DESC=
B=1160.0|C=|D=|E=|F=|G=زراعة محاصيل الألياف |DESC=
B=11601.0|C=|D=|E=|F=|G=|DESC=زراعة القطن 
B=11602.0|C=|D=|E=|F=|G=|DESC=زراعة ألياف الأنسجة اللحائية
B=11603.0|C=|D=|E=|F=|G=|DESC=زراعة الكتان والقنب و الجوت و التيل
B=11609.0|C=|D=|E=|F=|G=|DESC=زراعة محاصيل  الألياف الأخرى
B=119.0|C=|D=|E=|F=زراعة المحاصيل الأخرى غير الدائمة|G=|DESC=
B=1190.0|C=|D=|E=|F=|G=زراعة المحاصيل الأخرى غير الدائمة|DESC=
B=11901.0|C=|D=|E=|F=|G=|DESC=زراعة الدرنات السويدية و الشمندر و جذور الأعلاف والجذور والب
B=11902.0|C=|D=|E=|F=|G=|DESC=زراعة الأزهار بما في ذلك إنتاج زهور الزينة وبراعم الأزهار وا
B=11903.0|C=|D=|E=|F=|G=|DESC=الزراعة المائية لإنتاج الورد
